"country","year","gdp","pop","category","emissions","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"Australia",1969,313769879266.95,12263000,NA,NA,26.4719256855986,16.3220971567442,NA,1,700.762849503856,NA,NA
"Australia",1970,336285742851.857,12507000,NA,NA,26.5412270606574,16.341799045531,NA,1,704.436733885371,NA,NA
"Australia",1971,349740308520.899,12937000,NA,NA,26.5804567403751,16.3756019809,NA,1,706.520680526953,NA,NA
"Australia",1972,363416149517.068,13177000,NA,NA,26.618814431979,16.3939834435274,NA,1,708.561281764135,NA,NA
"Australia",1973,372935384782.122,13380000,NA,NA,26.6446710104369,16.4092716126644,NA,1,709.938493254414,NA,NA
"Australia",1974,388251740538.025,13723000,NA,NA,26.6849197819994,16.4345838152518,NA,1,712.08494377174,NA,NA
"Australia",1975,393439987529.393,13893000,NA,NA,26.698194383718,16.446895674131,NA,1,712.793583350789,NA,NA
"Australia",1976,403625246875.107,14033000,NA,NA,26.7237526776694,16.4569222567333,NA,1,714.158957177242,NA,NA
"Australia",1977,418134900196.679,14192000,NA,NA,26.759069945149,16.4681889835315,NA,1,716.047824329378,NA,NA
"Australia",1978,421869470866.782,14358000,NA,NA,26.7679617923938,16.4798178361186,NA,1,716.523778519052,NA,NA
"Australia",1979,438955296539.95,14514000,NA,NA,26.8076634146314,16.4906242588202,NA,1,718.650817752167,NA,NA
"Australia",1980,452280174351.701,14692000,NA,NA,26.8375676795084,16.5028136859217,NA,1,720.255038952196,NA,NA
"Australia",1981,467384047177.581,14923260,NA,NA,26.8704171274836,16.518431627532,NA,1,722.019316604966,NA,NA
"Australia",1982,482923876359.888,15184247,NA,NA,26.9031248722977,16.5357690668228,NA,1,723.778127894444,NA,NA
"Australia",1983,472181032497.802,15393472,NA,NA,26.8806282924255,16.5494540814106,NA,1,722.568177395548,NA,NA
"Australia",1984,493862351057.547,15579391,NA,NA,26.9255226737226,16.5614595090678,NA,1,724.983771253152,NA,NA
"Australia",1985,519929610372.882,15788312,NA,NA,26.9769592746917,16.5747804774141,NA,1,727.756331708376,NA,NA
"Australia",1986,540551445081.544,16018350,NA,NA,27.0158556500357,16.5892454980453,NA,1,729.856456503565,NA,NA
"Australia",1987,554385549225.594,16263874,NA,NA,27.041126218872,16.6044568870886,NA,1,731.222507184966,NA,NA
"Australia",1988,586303416114.162,16532164,NA,NA,27.0971032674631,16.6208183747194,NA,1,734.253005487558,NA,NA
"Australia",1989,609025168331.264,16814416,NA,NA,27.1351254311115,16.6377471716583,NA,1,736.315032162154,NA,NA
"Australia",1990,630806866757.952,17065128,"2.B",0.0962624,27.1702655777686,16.6525476410273,-2.34067748294343,1,738.223331566478,5.64088356090854e-09,-18.9932251239707
"Australia",1990,630806866757.952,17065128,"2.C",0.4604625,27.1702655777686,16.6525476410273,-0.775523859827396,1,738.223331566478,2.6982657264569e-08,-17.4280715008547
"Australia",1990,630806866757.952,17065128,"2.E",1e-06,27.1702655777686,16.6525476410273,-13.8155105579643,1,738.223331566478,5.85990330690751e-14,-30.4680581989916
"Australia",1990,630806866757.952,17065128,"2.F",1e-06,27.1702655777686,16.6525476410273,-13.8155105579643,1,738.223331566478,5.85990330690751e-14,-30.4680581989916
"Australia",1990,630806866757.952,17065128,"2.G",0.135529795,27.1702655777686,16.6525476410273,-1.9985637735356,1,738.223331566478,7.94191493904997e-09,-18.6511114145629
"Australia",1991,628390422953.754,17284036,"2.B",0.0962624,27.1664275028453,16.665293858883,-2.34067748294343,1,738.014783267352,5.56943991553825e-09,-19.0059713418264
"Australia",1991,628390422953.754,17284036,"2.C",0.4608359,27.1664275028453,16.665293858883,-0.774713264649014,1,738.014783267352,2.66625167871671e-08,-17.440007123532
"Australia",1991,628390422953.754,17284036,"2.E",1e-06,27.1664275028453,16.665293858883,-13.8155105579643,1,738.014783267352,5.78568570442691e-14,-30.4808044168473
"Australia",1991,628390422953.754,17284036,"2.F",1e-06,27.1664275028453,16.665293858883,-13.8155105579643,1,738.014783267352,5.78568570442691e-14,-30.4808044168473
"Australia",1991,628390422953.754,17284036,"2.G",0.196150549,27.1664275028453,16.665293858883,-1.62887280745208,1,738.014783267352,1.13486542726479e-08,-18.2941666663351
"Australia",1992,631083827266.741,17478635,"2.B",0.09008,27.1707045389473,16.6764898358977,-2.40705711459076,1,738.247185142773,5.1537205279474e-09,-19.0835469504884
