gas,sample,sector,target p-value,country,year,coef,std.error,t-stat,p-value,break direction
all_ghg,EU15,Biological treatment - waste,0.05,UnitedKingdom,2010,0.680,0.098,6.905,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.05,Ireland,2002,1.756,0.123,14.289,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.05,Ireland,2015,0.757,0.150,5.065,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.05,Netherlands,2004,-0.679,0.098,-6.948,0.000,negative
all_ghg,EU15,Biological treatment - waste,0.01,UnitedKingdom,2010,0.732,0.105,6.960,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.01,Ireland,2002,1.858,0.130,14.294,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.01,Ireland,2015,0.922,0.155,5.962,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.001,UnitedKingdom,2010,0.654,0.131,5.005,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.001,Greece,2001,0.785,0.196,4.006,0.000,positive
all_ghg,EU15,Biological treatment - waste,0.001,Greece,2012,1.024,0.181,5.644,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Austria,2019,-1.581,0.089,-17.820,0.000,negative
all_ghg,EU15,Biomass burning,0.05,Belgium,2006,0.832,0.070,11.945,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Belgium,2017,0.446,0.083,5.368,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Denmark,2004,-0.521,0.067,-7.825,0.000,negative
all_ghg,EU15,Biomass burning,0.05,Spain,2003,-0.275,0.094,-2.907,0.004,negative
all_ghg,EU15,Biomass burning,0.05,France,1999,0.418,0.097,4.312,0.000,positive
all_ghg,EU15,Biomass burning,0.05,UnitedKingdom,2009,-0.310,0.083,-3.733,0.000,negative
all_ghg,EU15,Biomass burning,0.05,UnitedKingdom,2015,0.597,0.090,6.646,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Ireland,2013,0.407,0.086,4.726,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Italy,1999,0.509,0.093,5.463,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Italy,2015,0.274,0.074,3.707,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Luxembourg,2017,0.301,0.103,2.917,0.004,positive
all_ghg,EU15,Biomass burning,0.05,Portugal,2009,0.270,0.067,4.064,0.000,positive
all_ghg,EU15,Biomass burning,0.05,Sweden,2006,-0.778,0.066,-11.827,0.000,negative
all_ghg,EU15,Biomass burning,0.01,Austria,2019,-1.581,0.093,-16.987,0.000,negative
all_ghg,EU15,Biomass burning,0.01,Belgium,2006,0.826,0.073,11.350,0.000,positive
all_ghg,EU15,Biomass burning,0.01,Belgium,2017,0.456,0.087,5.234,0.000,positive
all_ghg,EU15,Biomass burning,0.01,Denmark,2004,-0.543,0.069,-7.822,0.000,negative
all_ghg,EU15,Biomass burning,0.01,Spain,2009,-1.376,0.078,-17.537,0.000,negative
all_ghg,EU15,Biomass burning,0.01,France,1999,0.480,0.100,4.822,0.000,positive
all_ghg,EU15,Biomass burning,0.01,UnitedKingdom,2009,-0.296,0.086,-3.422,0.001,negative
all_ghg,EU15,Biomass burning,0.01,UnitedKingdom,2015,0.647,0.094,6.911,0.000,positive
all_ghg,EU15,Biomass burning,0.01,Ireland,2013,0.435,0.090,4.827,0.000,positive
all_ghg,EU15,Biomass burning,0.01,Italy,1999,0.528,0.097,5.438,0.000,positive
all_ghg,EU15,Biomass burning,0.01,Italy,2016,0.253,0.079,3.183,0.002,positive
all_ghg,EU15,Biomass burning,0.01,Luxembourg,2017,0.359,0.107,3.340,0.001,positive
all_ghg,EU15,Biomass burning,0.01,Sweden,2006,-0.772,0.069,-11.252,0.000,negative
all_ghg,EU15,Biomass burning,0.001,Austria,2019,-1.637,0.115,-14.255,0.000,negative
all_ghg,EU15,Biomass burning,0.001,Belgium,2009,0.989,0.081,12.190,0.000,positive
all_ghg,EU15,Biomass burning,0.001,Spain,2009,-1.359,0.098,-13.864,0.000,negative
all_ghg,EU15,Biomass burning,0.001,Spain,2017,-0.940,0.114,-8.222,0.000,negative
all_ghg,EU15,Biomass burning,0.001,UnitedKingdom,2015,0.371,0.097,3.813,0.000,positive
all_ghg,EU15,Biomass burning,0.001,Ireland,2014,0.600,0.120,5.022,0.000,positive
all_ghg,EU15,Biomass burning,0.001,Netherlands,2015,-0.843,0.117,-7.226,0.000,negative
all_ghg,EU15,Biomass burning,0.001,Sweden,2006,-0.727,0.085,-8.548,0.000,negative
all_ghg,EU15,Carbonate uses,0.05,Austria,2015,0.681,0.071,9.608,0.000,positive
all_ghg,EU15,Carbonate uses,0.05,Germany,2009,0.342,0.071,4.821,0.000,positive
all_ghg,EU15,Carbonate uses,0.05,Denmark,2007,-0.499,0.058,-8.547,0.000,negative
all_ghg,EU15,Carbonate uses,0.05,Spain,2002,0.384,0.072,5.360,0.000,positive
all_ghg,EU15,Carbonate uses,0.05,Finland,2010,0.433,0.060,7.183,0.000,positive
all_ghg,EU15,Carbonate uses,0.05,France,2013,-0.384,0.061,-6.351,0.000,negative
all_ghg,EU15,Carbonate uses,0.05,UnitedKingdom,2016,-0.379,0.071,-5.353,0.000,negative
all_ghg,EU15,Carbonate uses,0.05,Greece,2000,0.375,0.078,4.823,0.000,positive
all_ghg,EU15,Carbonate uses,0.05,Greece,2020,-0.490,0.094,-5.201,0.000,negative
all_ghg,EU15,Carbonate uses,0.05,Italy,2013,0.416,0.063,6.556,0.000,positive
all_ghg,EU15,Carbonate uses,0.05,Portugal,2010,-0.276,0.066,-4.181,0.000,negative
all_ghg,EU15,Carbonate uses,0.05,Sweden,1997,-0.495,0.106,-4.667,0.000,negative
all_ghg,EU15,Carbonate uses,0.01,Austria,2015,0.755,0.075,10.083,0.000,positive
all_ghg,EU15,Carbonate uses,0.01,Belgium,2001,-0.825,0.074,-11.119,0.000,negative
all_ghg,EU15,Carbonate uses,0.01,Germany,2009,0.297,0.078,3.831,0.000,positive
all_ghg,EU15,Carbonate uses,0.01,Denmark,2007,-0.537,0.063,-8.464,0.000,negative
all_ghg,EU15,Carbonate uses,0.01,Spain,2002,0.450,0.079,5.723,0.000,positive
all_ghg,EU15,Carbonate uses,0.01,Finland,2010,0.380,0.065,5.840,0.000,positive
all_ghg,EU15,Carbonate uses,0.01,France,2013,-0.365,0.067,-5.453,0.000,negative
all_ghg,EU15,Carbonate uses,0.01,UnitedKingdom,2016,-0.325,0.078,-4.181,0.000,negative
all_ghg,EU15,Carbonate uses,0.01,Greece,2020,-0.489,0.104,-4.708,0.000,negative
all_ghg,EU15,Carbonate uses,0.01,Italy,2013,0.379,0.069,5.461,0.000,positive
all_ghg,EU15,Carbonate uses,0.01,Portugal,2010,-0.359,0.071,-5.093,0.000,negative
all_ghg,EU15,Carbonate uses,0.001,Austria,2015,0.773,0.077,10.022,0.000,positive
all_ghg,EU15,Carbonate uses,0.001,Belgium,2001,-0.808,0.076,-10.559,0.000,negative
all_ghg,EU15,Carbonate uses,0.001,Germany,2009,0.336,0.080,4.224,0.000,positive
all_ghg,EU15,Carbonate uses,0.001,Denmark,2007,-0.501,0.065,-7.703,0.000,negative
all_ghg,EU15,Carbonate uses,0.001,Spain,2002,0.418,0.081,5.177,0.000,positive
all_ghg,EU15,Carbonate uses,0.001,Finland,2010,0.426,0.066,6.415,0.000,positive
all_ghg,EU15,Carbonate uses,0.001,France,2013,-0.357,0.069,-5.172,0.000,negative
all_ghg,EU15,Carbonate uses,0.001,UnitedKingdom,2016,-0.334,0.080,-4.170,0.000,negative
all_ghg,EU15,Carbonate uses,0.001,Italy,2013,0.433,0.071,6.117,0.000,positive
all_ghg,EU15,Carbonate uses,0.001,Portugal,2010,-0.289,0.071,-4.060,0.000,negative
all_ghg,EU15,Cement production,0.05,Portugal,2016,-0.303,0.062,-4.903,0.000,negative
all_ghg,EU15,Chemical industry,0.05,Austria,2006,0.492,0.098,5.032,0.000,positive
all_ghg,EU15,Chemical industry,0.05,Belgium,2006,0.689,0.098,7.063,0.000,positive
all_ghg,EU15,Chemical industry,0.05,Denmark,2006,-3.688,0.131,-28.194,0.000,negative
all_ghg,EU15,Chemical industry,0.05,Denmark,2011,3.198,0.126,25.373,0.000,positive
all_ghg,EU15,Chemical industry,0.05,Finland,2006,0.913,0.104,8.813,0.000,positive
all_ghg,EU15,Chemical industry,0.05,UnitedKingdom,1999,-0.917,0.139,-6.583,0.000,negative
all_ghg,EU15,Chemical industry,0.05,Greece,2012,-0.952,0.107,-8.921,0.000,negative
all_ghg,EU15,Chemical industry,0.01,Austria,2006,0.828,0.184,4.497,0.000,positive
all_ghg,EU15,Chemical industry,0.01,Belgium,2006,1.023,0.184,5.557,0.000,positive
all_ghg,EU15,Chemical industry,0.01,Denmark,2012,0.859,0.182,4.718,0.000,positive
all_ghg,EU15,Chemical industry,0.01,Finland,2006,1.275,0.194,6.576,0.000,positive
all_ghg,EU15,Chemical industry,0.01,Greece,2012,-0.852,0.202,-4.212,0.000,negative
all_ghg,EU15,Chemical industry,0.01,Sweden,2004,1.100,0.351,3.130,0.002,positive
all_ghg,EU15,Chemical industry,0.01,Sweden,2006,1.237,0.342,3.618,0.000,positive
all_ghg,EU15,Chemical industry,0.001,Belgium,2006,0.749,0.191,3.928,0.000,positive
all_ghg,EU15,Chemical industry,0.001,Finland,2006,0.951,0.199,4.770,0.000,positive
all_ghg,EU15,Chemical industry,0.001,Greece,2012,-0.955,0.214,-4.468,0.000,negative
all_ghg,EU15,Chemical industry,0.001,Sweden,2004,1.972,0.202,9.755,0.000,positive
all_ghg,EU15,Civil aviation,0.05,Denmark,2000,-0.569,0.108,-5.283,0.000,negative
all_ghg,EU15,Civil aviation,0.05,Finland,2000,-0.306,0.132,-2.312,0.021,negative
