Country,Sector,Year,Gas,Sample group,Break type,Coefficient,Target p-value,Standard Error,T-stat,P-value
Australia,Carbonate uses,2017,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.612,0.050,0.166,3.682,0.000
Australia,Carbonate uses,2017,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.612,0.050,0.166,3.682,0.000
Australia,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,1.079,0.050,0.112,9.599,0.000
Australia,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,1.080,0.010,0.155,6.985,0.000
Australia,Chemical industry,2006,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.949,0.001,0.159,5.961,0.000
Australia,Chemical industry,2009,Carbon dioxide (CO2),OECD,negative,0.636,0.050,0.107,5.963,0.000
Australia,Chemical industry,2009,Carbon dioxide (CO2),OECD,negative,0.674,0.010,0.108,6.228,0.000
Australia,Chemical industry,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.800,0.050,0.105,7.615,0.000
Australia,Direct N2O - managed soils,2018,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.126,0.050,0.020,-6.335,0.000
Australia,Electricity and heat,2009,Methane (CH4),OECD with EU15 effects,negative,-0.329,0.050,0.052,-6.315,0.000
Australia,Electricity and heat,2009,Methane (CH4),OECD with EU15 effects,negative,-0.350,0.010,0.055,-6.336,0.000
Australia,Electricity and heat,2009,Methane (CH4),OECD,negative,-0.413,0.050,0.050,-8.268,0.000
Australia,Electricity and heat,2009,Methane (CH4),OECD,negative,-0.451,0.010,0.053,-8.450,0.000
Australia,Electricity and heat,2009,Methane (CH4),OECD,negative,-0.411,0.001,0.062,-6.684,0.000
Australia,Electronics industry,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,14.961,0.001,0.252,59.371,0.000
Australia,Enteric fermentation,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.091,0.050,0.015,-5.988,0.000
Australia,Enteric fermentation,2008,Methane (CH4),OECD with EU15 effects,negative,-0.091,0.050,0.015,-5.988,0.000
Australia,Enteric fermentation,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.129,0.050,0.017,-7.514,0.000
Australia,Enteric fermentation,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.167,0.010,0.018,-9.296,0.000
Australia,Enteric fermentation,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.194,0.001,0.020,-9.731,0.000
Australia,Enteric fermentation,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.141,0.050,0.016,-8.991,0.000
Australia,Enteric fermentation,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.165,0.010,0.018,-9.168,0.000
Australia,Enteric fermentation,2016,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.152,0.001,0.021,-7.229,0.000
Australia,Enteric fermentation,2016,Methane (CH4),OECD with EU15 effects,negative,-0.129,0.050,0.017,-7.514,0.000
Australia,Enteric fermentation,2016,Methane (CH4),OECD with EU15 effects,negative,-0.167,0.010,0.018,-9.296,0.000
Australia,Enteric fermentation,2016,Methane (CH4),OECD with EU15 effects,negative,-0.194,0.001,0.020,-9.731,0.000
Australia,Fossil fuel fires,2012,Carbon dioxide (CO2),OECD,negative,0.000,0.050,0.000,2.396,0.026
Australia,Fossil fuel fires,2014,Carbon dioxide (CO2),OECD,negative,0.000,0.050,0.000,-2.312,0.031
Australia,Glass Production,2009,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.301,0.050,0.065,4.610,0.000
Australia,Glass Production,2009,Carbon dioxide (CO2),OECD,negative,0.488,0.050,0.078,6.297,0.000
Australia,Glass Production,2009,Carbon dioxide (CO2),OECD,negative,0.429,0.010,0.078,5.505,0.000
Australia,Glass Production,2009,Carbon dioxide (CO2),OECD,negative,0.310,0.001,0.078,3.981,0.000
Australia,Glass Production,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.301,0.050,0.065,4.610,0.000
Australia,Glass Production,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.488,0.050,0.078,6.297,0.000
Australia,Glass Production,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.429,0.010,0.078,5.505,0.000
Australia,Glass Production,2009,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.310,0.001,0.078,3.981,0.000
Australia,Indirect N20 - nitrogen,2001,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.109,0.050,0.030,3.640,0.000
Australia,Indirect N20 - nitrogen,2011,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.117,0.010,0.026,4.509,0.000
Australia,Indirect N20 - nitrogen,2018,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.073,0.050,0.033,2.252,0.025
Australia,Indirect N20 - nitrogen,2019,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.131,0.050,0.058,2.267,0.024
Australia,Indirect N20 - nitrogen,2021,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.168,0.050,0.068,-2.462,0.014
Australia,Indirect N2O  - managed soils,2011,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.094,0.050,0.019,4.920,0.000
Australia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.130,0.050,0.015,-8.724,0.000
Australia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.121,0.010,0.018,-6.799,0.000
Australia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.115,0.001,0.021,-5.528,0.000
Australia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.108,0.050,0.015,-7.040,0.000
Australia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.103,0.010,0.018,-5.709,0.000
Australia,Indirect N2O - manure,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.110,0.001,0.020,-5.620,0.000
Australia,Lime production,2011,Carbon dioxide (CO2),OECD with EU15 effects,positive,0.569,0.050,0.123,4.638,0.000
Australia,Lime production,2011,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.569,0.050,0.123,4.638,0.000
Australia,Manufacturing & construction,2003,Methane (CH4),OECD with EU15 effects,negative,-0.214,0.050,0.049,-4.354,0.000
Australia,Manufacturing & construction,2010,Carbon dioxide (CO2),OECD with EU15 effects,negative,-0.180,0.050,0.034,-5.257,0.000
Australia,Manufacturing & construction,2010,Carbon dioxide (CO2),OECD with EU15 effects,negative,-0.190,0.010,0.035,-5.362,0.000
Australia,Manufacturing & construction,2010,Carbon dioxide (CO2),OECD,negative,-0.132,0.050,0.034,-3.873,0.000
Australia,Manufacturing & construction,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.173,0.050,0.034,-5.116,0.000
Australia,Manufacturing & construction,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.186,0.010,0.035,-5.257,0.000
Australia,Manufacturing & construction,2010,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.127,0.050,0.034,-3.758,0.000
Australia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.163,0.010,0.019,-8.436,0.000
Australia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.165,0.001,0.022,-7.658,0.000
Australia,Manure management,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.153,0.001,0.021,-7.196,0.000
Australia,Manure management,2007,Methane (CH4),OECD with EU15 effects,negative,-0.167,0.010,0.019,-8.829,0.000
Australia,Manure management,2007,Methane (CH4),OECD with EU15 effects,negative,-0.164,0.001,0.022,-7.560,0.000
Australia,Manure management,2008,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.157,0.010,0.019,-8.117,0.000
Australia,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.120,0.050,0.017,-7.020,0.000
Australia,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.118,0.010,0.021,-5.650,0.000
Australia,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.103,0.001,0.023,-4.453,0.000
Australia,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.106,0.050,0.018,-5.840,0.000
Australia,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.105,0.010,0.021,-5.021,0.000
Australia,Manure management,2015,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.120,0.001,0.023,-5.251,0.000
Australia,Manure management,2015,Methane (CH4),OECD with EU15 effects,negative,-0.113,0.050,0.017,-6.547,0.000
Australia,Manure management,2015,Methane (CH4),OECD with EU15 effects,negative,-0.115,0.010,0.021,-5.616,0.000
Australia,Manure management,2015,Methane (CH4),OECD with EU15 effects,negative,-0.118,0.001,0.023,-5.053,0.000
Australia,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.486,0.050,0.095,-5.128,0.000
Australia,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.808,0.010,0.043,-18.785,0.000
Australia,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,negative,-0.898,0.001,0.051,-17.716,0.000
Australia,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.628,0.050,0.041,-15.328,0.000
Australia,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.643,0.010,0.049,-13.053,0.000
Australia,Other product manufacture,2007,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,negative,-0.703,0.001,0.054,-13.115,0.000
Australia,Residential,2004,Methane (CH4),OECD with EU15 effects,negative,-0.276,0.050,0.042,-6.543,0.000
Australia,Residential,2004,Methane (CH4),OECD,negative,-0.327,0.050,0.041,-7.942,0.000
Australia,Residential,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.329,0.050,0.039,8.367,0.000
Australia,Residential,2012,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD,positive,0.283,0.010,0.046,6.132,0.000
Australia,Residential,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.310,0.050,0.041,7.514,0.000
Australia,Residential,2013,"Combined GHGs (CO2, CH4, N2O, f-gases)",OECD with EU15 effects,positive,0.253,0.010,0.048,5.302,0.000
Australia,Road transport,2009,Methane (CH4),OECD with EU15 effects,negative,-0.354,0.010,0.037,-9.539,0.000
Australia,Road transport,2009,Methane (CH4),OECD with EU15 effects,negative,-0.342,0.001,0.044,-7.813,0.000
Australia,Road transport,2015,Methane (CH4),OECD with EU15 effects,negative,-0.261,0.050,0.036,-7.199,0.000
Australia,Solid fuels,2008,Methane (CH4),OECD with EU15 effects,positive,0.416,0.050,0.165,2.524,0.012
Australia,Solid fuels,2008,Methane (CH4),OECD,negative,0.739,0.050,0.155,4.760,0.000
Australia,Solid fuels,2008,Methane (CH4),OECD,negative,0.577,0.010,0.173,3.327,0.001
